X,Y,X,Y,id,gridarea,buildingfootprintarea,percentbuilt,join_Point_X,join_Point_Y,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley
22225.2440234266,30310.3482016956,103.78143,1.29039,"5033",399.99967,148.09865,37.02469,103.78134,1.29048,0.00000,26.64773,Zone 2,,Temparea,Valley
22245.2777066445,30370.058231349,103.78161,1.29093,"5103",399.99967,228.80937,57.20239,103.78081,1.29108,0.62546,29.69488,Zone 2,,Temparea,Valley
22245.2773018767,30350.1547521171,103.78161,1.29075,"5104",399.99967,138.83596,34.70902,103.78159,1.29062,1.83232,29.47697,Zone 2,,Temparea,Valley
22245.2768971652,30330.2512729134,103.78161,1.29057,"5105",399.99967,187.26516,46.81633,103.78159,1.29062,0.00000,29.17534,Zone 2,,Temparea,Valley
22245.2764925102,30310.3477937379,103.78161,1.29039,"5106",399.99967,166.82161,41.70544,103.78170,1.29028,0.67713,28.88731,Zone 2,,Temparea,Valley
22245.2760879116,30290.4443145908,103.78161,1.29021,"5107",399.99967,71.85058,17.96266,103.78170,1.29028,6.02254,28.81522,Zone 2,,Temparea,Valley
22265.3101714457,30370.0578246385,103.78179,1.29093,"5176",399.99967,323.18007,80.79508,103.78081,1.29108,0.00000,30.13168,Zone 2,,Temparea,Valley
22265.3097680865,30350.1543454633,103.78179,1.29075,"5177",399.99967,110.88545,27.72139,103.78190,1.29047,0.00000,30.09300,Zone 2,,Temparea,Valley
22265.3093647835,30330.2508663162,103.78179,1.29057,"5178",399.99967,165.08130,41.27036,103.78190,1.29047,0.98154,30.29077,Zone 2,,Temparea,Valley
22265.3089615367,30310.3473871975,103.78179,1.29039,"5179",399.99967,81.55035,20.38760,103.78170,1.29028,5.87823,30.58173,Zone 2,,Temparea,Valley
22265.3085583461,30290.443908107,103.78179,1.29021,"5180",399.99967,176.81497,44.20378,103.78170,1.29028,1.66002,30.71911,Zone 2,,Temparea,Valley
22285.3430381967,30389.960898493,103.78197,1.29111,"5248",399.99968,119.70702,29.92678,103.78081,1.29108,3.90721,33.86813,Zone 2,,Temparea,Valley
